"INDICATOR","HLTHRES_228"

"HLTHRES_228","Психиатрические койки, Всего"

"UNIT_TYPE","Единица"
"NUM_BEDS","количество спальных мест"

"EXTERNID","Идентификатор в источнике данных"

"DATA_SOURCE","Источник данных"
"HLTHRES","Европейская база данных кадровых и технических ресурсов здравоохранения (HlthRes-DB)"

"DATA_TYPE_REPRESENTATION","Представление типов данных"
"COUNT","Подсчет"

"DATA_SET","Набор данных"
"HLTHRES","Европейская база данных кадровых и технических ресурсов здравоохранения (HlthRes-DB) "

"DATA_MASK","Маска для контроля формата выходных значений"

"CARE_TYPE","Кровати по видам медицинской помощи в больницах"
"ALL","Все типы уход"
"CURATIVE","Лечебное (интенсивный) уход"
"PSYCHIATRIC","Психиатрическая помощь"
"LONG_TERM","Длительный уход"
"OTHER","Другие типы ухода"

"COUNTRY","COUNTRY_GRP","CARE_TYPE","YEAR","VALUE"
"ALB","","PSYCHIATRIC","1988","1273"
"ALB","","PSYCHIATRIC","1989","1201"
"ALB","","PSYCHIATRIC","1990","1269"
"ALB","","PSYCHIATRIC","1991","1299"
"ALB","","PSYCHIATRIC","1992","1302"
"ALB","","PSYCHIATRIC","1993","1021"
"ALB","","PSYCHIATRIC","1994","997"
"ALB","","PSYCHIATRIC","1995","977"
"ALB","","PSYCHIATRIC","1996","977"
"ALB","","PSYCHIATRIC","1997","938"
"ALB","","PSYCHIATRIC","1998","910"
"ALB","","PSYCHIATRIC","1999","935"
"ALB","","PSYCHIATRIC","2000","915"
"ALB","","PSYCHIATRIC","2001","910"
"ALB","","PSYCHIATRIC","2002","910"
"ALB","","PSYCHIATRIC","2003","795"
"ALB","","PSYCHIATRIC","2004","795"
"ALB","","PSYCHIATRIC","2005","795"
"ALB","","PSYCHIATRIC","2006","795"
"ALB","","PSYCHIATRIC","2007","727"
"ALB","","PSYCHIATRIC","2009","692"
"ALB","","PSYCHIATRIC","2010","692"
"ALB","","PSYCHIATRIC","2011","692"
"ALB","","PSYCHIATRIC","2012","745"
"ALB","","PSYCHIATRIC","2013","745"
"AND","","PSYCHIATRIC","2001","12"
"AND","","PSYCHIATRIC","2002","12"
"AND","","PSYCHIATRIC","2003","12"
"AND","","PSYCHIATRIC","2004","12"
"AND","","PSYCHIATRIC","2005","12"
"AND","","PSYCHIATRIC","2006","12"
"AND","","PSYCHIATRIC","2007","12"
"AND","","PSYCHIATRIC","2009","12"
"ARM","","PSYCHIATRIC","1980","2965"
"ARM","","PSYCHIATRIC","1981","2965"
"ARM","","PSYCHIATRIC","1982","2960"
"ARM","","PSYCHIATRIC","1983","2960"
"ARM","","PSYCHIATRIC","1984","3050"
"ARM","","PSYCHIATRIC","1985","2530"
"ARM","","PSYCHIATRIC","1986","2615"
"ARM","","PSYCHIATRIC","1987","2435"
"ARM","","PSYCHIATRIC","1988","2075"
"ARM","","PSYCHIATRIC","1989","2140"
"ARM","","PSYCHIATRIC","1990","2180"
"ARM","","PSYCHIATRIC","1991","2280"
"ARM","","PSYCHIATRIC","1992","2300"
"ARM","","PSYCHIATRIC","1993","2380"
"ARM","","PSYCHIATRIC","1994","2050"
"ARM","","PSYCHIATRIC","1995","2085"
"ARM","","PSYCHIATRIC","1996","1750"
"ARM","","PSYCHIATRIC","1997","1755"
"ARM","","PSYCHIATRIC","1998","1810"
"ARM","","PSYCHIATRIC","1999","1795"
"ARM","","PSYCHIATRIC","2000","1605"
"ARM","","PSYCHIATRIC","2001","1525"
"ARM","","PSYCHIATRIC","2002","1280"
"ARM","","PSYCHIATRIC","2003","1370"
"ARM","","PSYCHIATRIC","2004","1320"
"ARM","","PSYCHIATRIC","2005","1490"
"ARM","","PSYCHIATRIC","2006","1460"
"ARM","","PSYCHIATRIC","2007","1465"
"ARM","","PSYCHIATRIC","2008","1463"
"ARM","","PSYCHIATRIC","2009","1463"
"ARM","","PSYCHIATRIC","2010","1463"
"ARM","","PSYCHIATRIC","2011","1463"
"ARM","","PSYCHIATRIC","2012","1468"
"ARM","","PSYCHIATRIC","2013","1493"
"AUT","","PSYCHIATRIC","1988","6982"
"AUT","","PSYCHIATRIC","1989","6782"
"AUT","","PSYCHIATRIC","1990","6687"
"AUT","","PSYCHIATRIC","1991","6604"
"AUT","","PSYCHIATRIC","1992","6257"
"AUT","","PSYCHIATRIC","1993","6128"
"AUT","","PSYCHIATRIC","1994","5870"
"AUT","","PSYCHIATRIC","1995","5494"
"AUT","","PSYCHIATRIC","1996","5028"
"AUT","","PSYCHIATRIC","1997","4769"
"AUT","","PSYCHIATRIC","1998","4547"
"AUT","","PSYCHIATRIC","1999","4262"
"AUT","","PSYCHIATRIC","2000","4737"
"AUT","","PSYCHIATRIC","2001","4598"
"AUT","","PSYCHIATRIC","2002","4547"
"AUT","","PSYCHIATRIC","2003","4611"
"AUT","","PSYCHIATRIC","2004","4774"
"AUT","","PSYCHIATRIC","2005","4920"
"AUT","","PSYCHIATRIC","2006","5014"
"AUT","","PSYCHIATRIC","2007","5239"
"AUT","","PSYCHIATRIC","2008","5022"
"AUT","","PSYCHIATRIC","2009","5023"
"AUT","","PSYCHIATRIC","2010","5063"
"AUT","","PSYCHIATRIC","2011","5048"
"AUT","","PSYCHIATRIC","2012","5026"
"AUT","","PSYCHIATRIC","2013","5054"
"AZE","","PSYCHIATRIC","1980","4484"
"AZE","","PSYCHIATRIC","1985","5014"
"AZE","","PSYCHIATRIC","1986","5014"
"AZE","","PSYCHIATRIC","1987","5205"
"AZE","","PSYCHIATRIC","1988","5365"
"AZE","","PSYCHIATRIC","1989","5375"
"AZE","","PSYCHIATRIC","1990","5375"
"AZE","","PSYCHIATRIC","1991","5055"
"AZE","","PSYCHIATRIC","1992","4985"
"AZE","","PSYCHIATRIC","1993","4805"
"AZE","","PSYCHIATRIC","1994","4415"
"AZE","","PSYCHIATRIC","1995","4565"
"AZE","","PSYCHIATRIC","1996","4165"
"AZE","","PSYCHIATRIC","1997","3885"
"AZE","","PSYCHIATRIC","1998","4105"
"AZE","","PSYCHIATRIC","1999","4035"
"AZE","","PSYCHIATRIC","2000","3885"
"AZE","","PSYCHIATRIC","2001","4035"
"AZE","","PSYCHIATRIC","2002","3903"
"AZE","","PSYCHIATRIC","2003","3745"
"AZE","","PSYCHIATRIC","2004","4115"
"AZE","","PSYCHIATRIC","2005","4115"
"AZE","","PSYCHIATRIC","2006","4135"
"AZE","","PSYCHIATRIC","2007","4141"
"AZE","","PSYCHIATRIC","2008","4139"
"AZE","","PSYCHIATRIC","2009","3932"
"AZE","","PSYCHIATRIC","2010","3455"
"AZE","","PSYCHIATRIC","2011","3243"
"AZE","","PSYCHIATRIC","2012","3204"
"AZE","","PSYCHIATRIC","2013","3181"
"BEL","","PSYCHIATRIC","1970","26553"
"BEL","","PSYCHIATRIC","1980","24182"
"BEL","","PSYCHIATRIC","1985","21870"
"BEL","","PSYCHIATRIC","1986","21190"
"BEL","","PSYCHIATRIC","1987","21210"
"BEL","","PSYCHIATRIC","1988","21020"
"BEL","","PSYCHIATRIC","1989","20720"
"BEL","","PSYCHIATRIC","1990","19005"
"BEL","","PSYCHIATRIC","1991","19953"
"BEL","","PSYCHIATRIC","1992","20822"
"BEL","","PSYCHIATRIC","1993","20777"
"BEL","","PSYCHIATRIC","1994","20179"
"BEL","","PSYCHIATRIC","1995","19785"
"BEL","","PSYCHIATRIC","1996","26159"
"BEL","","PSYCHIATRIC","1997","26378"
"BEL","","PSYCHIATRIC","1998","26463"
"BEL","","PSYCHIATRIC","1999","26498"
"BEL","","PSYCHIATRIC","2000","26567"
"BEL","","PSYCHIATRIC","2001","25944"
"BEL","","PSYCHIATRIC","2002","25672"
"BEL","","PSYCHIATRIC","2003","25686"
"BEL","","PSYCHIATRIC","2004","25840"
"BEL","","PSYCHIATRIC","2005","26201"
"BEL","","PSYCHIATRIC","2006","19259"
"BEL","","PSYCHIATRIC","2007","19138"
"BEL","","PSYCHIATRIC","2008","19236"
"BEL","","PSYCHIATRIC","2009","19274"
"BEL","","PSYCHIATRIC","2010","19297"
"BEL","","PSYCHIATRIC","2011","19317"
"BEL","","PSYCHIATRIC","2012","19394"
"BEL","","PSYCHIATRIC","2013","19447"
"BEL","","PSYCHIATRIC","2014","19483"
"BIH","","PSYCHIATRIC","2000","1634"
"BIH","","PSYCHIATRIC","2001","1718"
"BIH","","PSYCHIATRIC","2002","1639"
"BIH","","PSYCHIATRIC","2003","1667"
"BIH","","PSYCHIATRIC","2004","1487"
"BIH","","PSYCHIATRIC","2005","1542"
"BIH","","PSYCHIATRIC","2006","1417"
"BIH","","PSYCHIATRIC","2007","1531"
"BIH","","PSYCHIATRIC","2008","1551"
"BIH","","PSYCHIATRIC","2009","1580"
